Time,TimeInterval,Voltage,FunctionGenerator,Oscilloscope,FreqRange
2023-06-08 11:47:46.454075,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:48:07.209942,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:48:27.814901,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:48:48.440873,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:49:09.047303,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:49:29.669637,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:49:50.278610,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:50:10.882319,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:50:31.486351,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:50:52.090481,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:51:12.698200,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:51:33.300968,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:51:53.910187,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:52:14.516018,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:52:35.124351,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:52:55.727594,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:53:16.400358,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:53:37.024217,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:53:57.648488,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:54:18.272313,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:54:38.895301,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:54:59.519827,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:55:20.143434,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:55:40.756672,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:56:01.391272,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:56:22.027577,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:56:42.663470,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:57:03.292293,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 11:57:23.914050,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
