x-axis,1,2,3
second,Volt,Volt,Volt
+8.62000E-03,,,
+8.62100E-03,,,
+8.62200E-03,,,
+8.62300E-03,,,
+8.62400E-03,,,
+8.62500E-03,-266.00502E-03,+33.63530E-03,+3.13323111E+00
+8.62600E-03,-240.87940E-03,+35.19309E-03,+3.13323111E+00
+8.62700E-03,-65.00000E-03,+34.23832E-03,+3.13323111E+00
+8.62800E-03,-65.00000E-03,+36.52475E-03,+3.13323111E+00
+8.62900E-03,-65.00000E-03,+33.43430E-03,+3.17343211E+00
+8.63000E-03,-65.00000E-03,+35.59510E-03,+3.15835674E+00
+8.63100E-03,-215.75377E-03,+35.44435E-03,+3.14328136E+00
+8.63200E-03,-90.12563E-03,+33.78606E-03,+3.17343211E+00
+8.63300E-03,-65.00000E-03,+35.84636E-03,+3.17343211E+00
+8.63400E-03,-240.87940E-03,+34.31369E-03,+3.16840699E+00
+8.63500E-03,-266.00502E-03,+33.23329E-03,+3.16338186E+00
+8.63600E-03,-65.00000E-03,+35.54485E-03,+3.13323111E+00
+8.63700E-03,-65.00000E-03,+35.24334E-03,+3.15333161E+00
+8.63800E-03,-140.37688E-03,+33.71068E-03,+3.17343211E+00
+8.63900E-03,-65.00000E-03,+35.99711E-03,+3.14328136E+00
+8.64000E-03,-65.00000E-03,+34.41420E-03,+3.13323111E+00
+8.64100E-03,-65.00000E-03,+34.23832E-03,+3.13323111E+00
+8.64200E-03,-65.00000E-03,+36.47450E-03,+3.13323111E+00
+8.64300E-03,-65.00000E-03,+35.29359E-03,+3.17343211E+00
+8.64400E-03,-65.00000E-03,+35.51972E-03,+3.13323111E+00
+8.64500E-03,-65.00000E-03,+35.24334E-03,+3.15333161E+00
+8.64600E-03,-65.00000E-03,+35.34384E-03,+3.13323111E+00
+8.64700E-03,-65.00000E-03,+33.98706E-03,+3.13323111E+00
+8.64800E-03,-65.00000E-03,+35.67048E-03,+3.16840699E+00
+8.64900E-03,-65.00000E-03,+35.04234E-03,+3.17343211E+00
+8.65000E-03,-65.00000E-03,+33.48455E-03,+3.13323111E+00
+8.65100E-03,-65.00000E-03,+34.89158E-03,+3.16338186E+00
+8.65200E-03,-65.00000E-03,+34.61520E-03,+3.14830648E+00
+8.65300E-03,-65.00000E-03,+36.34887E-03,+3.13323111E+00
+8.65400E-03,-65.00000E-03,+34.99209E-03,+3.13323111E+00
+8.65500E-03,-65.00000E-03,+36.09761E-03,+3.13323111E+00
+8.65600E-03,-65.00000E-03,+35.49460E-03,+3.13825623E+00
+8.65700E-03,-266.00502E-03,+34.23832E-03,+3.17343211E+00
+8.65800E-03,-39.87437E-03,+36.17299E-03,+3.13825623E+00
+8.65900E-03,-65.00000E-03,+35.39410E-03,+3.14328136E+00
+8.66000E-03,-65.00000E-03,+36.34887E-03,+3.14830648E+00
+8.66100E-03,-65.00000E-03,+34.33882E-03,+3.15333161E+00
+8.66200E-03,-65.00000E-03,+34.26344E-03,+3.13323111E+00
+8.66300E-03,-65.00000E-03,+36.44937E-03,+3.17343211E+00
+8.66400E-03,-65.00000E-03,+34.89158E-03,+3.13323111E+00
+8.66500E-03,-65.00000E-03,+33.83631E-03,+3.13323111E+00
+8.66600E-03,-65.00000E-03,+34.66545E-03,+3.16840699E+00
+8.66700E-03,-115.25125E-03,+34.89158E-03,+3.14328136E+00
+8.66800E-03,-65.00000E-03,+35.09259E-03,+3.14830648E+00
+8.66900E-03,-165.50251E-03,+33.33379E-03,+3.13323111E+00
+8.67000E-03,-190.62814E-03,+35.44435E-03,+3.15835674E+00
+8.67100E-03,-115.25125E-03,+33.93681E-03,+3.13323111E+00
