x-axis,1,2,3
second,Volt,Volt,Volt
-8.0000E-06,,,
-7.5000E-06,-219.5984E-06,-944.7236E-06,+3.1043341373E+00
-7.0000E-06,-4.2396989E-03,-643.2161E-06,+3.1143843884E+00
-6.5000E-06,-4.2396989E-03,-165.8291E-06,+3.1231783582E+00
-6.0000E-06,-7.1291461E-03,-391.9598E-06,+3.0829773536E+00
-5.5000E-06,-4.2396989E-03,-643.2161E-06,+3.0829773536E+00
-5.0000E-06,-1.0989954E-03,-35.1759E-06,+3.1231783582E+00
-4.5000E-06,-4.1140707E-03,-155.7789E-06,+3.0842336350E+00
-4.0000E-06,-4.2396989E-03,-276.3819E-06,+3.0829773536E+00
-3.5000E-06,-4.2396989E-03,-567.8392E-06,+3.1043341373E+00
-3.0000E-06,-4.2396989E-03,-391.9598E-06,+3.0829773536E+00
-2.5000E-06,-4.2396989E-03,-472.3618E-06,+3.0817210722E+00
-2.0000E-06,-2.4809049E-03,-296.4824E-06,+3.0829773536E+00
-1.5000E-06,-3.9884426E-03,-633.1658E-06,+3.1043341373E+00
-1.0000E-06,-4.2396989E-03,-356.7839E-06,+3.1143843884E+00
-500.0E-09,-345.2266E-06,-804.0201E-06,+3.1219220768E+00
+0.0E+00,-5.3703521E-03,-984.9246E-06,+3.1118718256E+00
+500.0E-09,+106.4386919E-03,-1.1256281E-03,-92.9020094E-03
+1.0000E-06,+244.1271326E-03,-1.1809045E-03,-61.4949745E-03
+1.5000E-06,+361.8406992E-03,-1.1356784E-03,-52.7010048E-03
+2.0000E-06,+459.2025072E-03,-1.6281407E-03,-52.7010048E-03
+2.5000E-06,+494.2527581E-03,-1.1155779E-03,-71.5452257E-03
+3.0000E-06,+494.2527581E-03,-874.3718E-06,-52.7010048E-03
+3.5000E-06,+494.2527581E-03,-969.8492E-06,-52.7010048E-03
+4.0000E-06,+494.2527581E-03,-1.3768844E-03,-52.7010048E-03
+4.5000E-06,+494.2527581E-03,-1.5125628E-03,-74.0577885E-03
+5.0000E-06,+494.2527581E-03,-1.8944723E-03,-61.4949745E-03
+5.5000E-06,+494.2527581E-03,-2.0954774E-03,-53.9572862E-03
+6.0000E-06,+494.2527581E-03,-2.3668341E-03,-70.2889443E-03
+6.5000E-06,+427.7954724E-03,-2.0050251E-03,-52.7010048E-03
+7.0000E-06,+334.3281367E-03,-2.2311558E-03,-92.9020094E-03
+7.5000E-06,+228.9261278E-03,-2.2763819E-03,-91.6457280E-03
+8.0000E-06,+120.3834154E-03,-2.4120603E-03,-52.7010048E-03
+8.5000E-06,-2.3552768E-03,-2.5929648E-03,-52.7010048E-03
+9.0000E-06,-123.0839187E-03,-2.4472362E-03,-52.7010048E-03
+9.5000E-06,-237.6567818E-03,-2.2613065E-03,-52.7010048E-03
+10.0000E-06,-359.1391926E-03,-1.6281407E-03,-23.8065327E-03
+10.5000E-06,-464.6668296E-03,-1.5226130E-03,-111.7462303E-03
+11.0000E-06,-526.8527586E-03,-1.1256281E-03,-61.4949745E-03
+11.5000E-06,-526.8527586E-03,-1.2713568E-03,-52.7010048E-03
+12.0000E-06,-526.8527586E-03,-65.3266E-06,-64.0075373E-03
+12.5000E-06,-526.8527586E-03,+150.7538E-06,-92.9020094E-03
+13.0000E-06,-526.8527586E-03,+1.5175879E-03,-52.7010048E-03
+13.5000E-06,-526.8527586E-03,+2.2412060E-03,-92.9020094E-03
+14.0000E-06,-526.8527586E-03,+2.0904522E-03,-52.7010048E-03
+14.5000E-06,-526.8527586E-03,+2.5628140E-03,-71.5452257E-03
+15.0000E-06,-526.8527586E-03,+2.8391959E-03,-84.1080396E-03
+15.5000E-06,-526.8527586E-03,+3.8643216E-03,-92.9020094E-03
+16.0000E-06,-526.8527586E-03,+4.4572864E-03,-64.0075373E-03
+16.5000E-06,-524.7170802E-03,+4.6432160E-03,-52.7010048E-03
+17.0000E-06,-423.2095436E-03,+3.9849246E-03,-92.9020094E-03
+17.5000E-06,-313.7874343E-03,+4.1909547E-03,-52.7010048E-03
+18.0000E-06,-192.0537672E-03,+3.9296482E-03,-64.0075373E-03
+18.5000E-06,-64.5412058E-03,+3.6783919E-03,-52.7010048E-03
+19.0000E-06,+59.2025115E-03,+4.0552763E-03,-52.7010048E-03
+19.5000E-06,+188.7251232E-03,+3.8341708E-03,-92.9020094E-03
+20.0000E-06,+302.4185893E-03,+2.9195980E-03,-92.9020094E-03
+20.5000E-06,+414.1020052E-03,+2.1658291E-03,-74.0577885E-03
+21.0000E-06,+494.2527581E-03,+1.2311558E-03,-84.1080396E-03
+21.5000E-06,+494.2527581E-03,+321.6080E-06,-90.3894466E-03
+22.0000E-06,+494.2527581E-03,-276.3819E-06,-64.0075373E-03
+22.5000E-06,+494.2527581E-03,-1.5326633E-03,-92.9020094E-03
+23.0000E-06,+494.2527581E-03,-2.3216080E-03,-52.7010048E-03
+23.5000E-06,+494.2527581E-03,-2.8994975E-03,-52.7010048E-03
+24.0000E-06,+494.2527581E-03,-4.4120603E-03,-92.9020094E-03
+24.5000E-06,+494.2527581E-03,-4.9949748E-03,-52.7010048E-03
+25.0000E-06,+494.2527581E-03,-6.1457286E-03,-92.9020094E-03
+25.5000E-06,+494.2527581E-03,-6.4422110E-03,-92.9020094E-03
+26.0000E-06,+494.2527581E-03,-6.9346733E-03,-52.7010048E-03
+26.5000E-06,+494.2527581E-03,-7.2462311E-03,-52.7010048E-03
+27.0000E-06,+413.8507489E-03,-6.7185929E-03,-84.1080396E-03
+27.5000E-06,+297.2678356E-03,-6.6080401E-03,-52.7010048E-03
+28.0000E-06,+179.5542690E-03,-6.0653266E-03,-52.7010048E-03
+28.5000E-06,+51.7904513E-03,-5.6482411E-03,-74.0577885E-03
+29.0000E-06,-74.8427132E-03,-5.3969849E-03,-52.7010048E-03
+29.5000E-06,-201.3502495E-03,-4.4924623E-03,-92.9020094E-03
+30.0000E-06,-322.9582884E-03,-4.0452261E-03,-41.3944722E-03
+30.5000E-06,-432.5060259E-03,-3.3668341E-03,-71.5452257E-03
+31.0000E-06,-526.8527586E-03,-2.1256281E-03,-52.7010048E-03
+31.5000E-06,-526.8527586E-03,-1.4422110E-03,-52.7010048E-03
+32.0000E-06,-526.8527586E-03,-507.5377E-06,-52.7010048E-03
+32.5000E-06,-526.8527586E-03,+417.0854E-06,-52.7010048E-03
+33.0000E-06,-526.8527586E-03,+2.0201005E-03,-84.1080396E-03
+33.5000E-06,-526.8527586E-03,+3.0552763E-03,-52.7010048E-03
+34.0000E-06,-526.8527586E-03,+3.8793969E-03,-52.7010048E-03
+34.5000E-06,-526.8527586E-03,+4.5025125E-03,-92.9020094E-03
+35.0000E-06,-526.8527586E-03,+5.0201004E-03,-92.9020094E-03
+35.5000E-06,-526.8527586E-03,+5.7989949E-03,-52.7010048E-03
+36.0000E-06,-526.8527586E-03,+6.2010050E-03,-92.9020094E-03
+36.5000E-06,-516.6768793E-03,+6.4422110E-03,-33.8567839E-03
+37.0000E-06,-420.0688401E-03,+6.5929648E-03,-52.7010048E-03
+37.5000E-06,-309.6417057E-03,+6.5979899E-03,-53.9572862E-03
+38.0000E-06,-185.1442195E-03,+6.3869346E-03,-81.5954768E-03
+38.5000E-06,-62.4055274E-03,+6.1105527E-03,-74.0577885E-03
+39.0000E-06,+63.2226120E-03,+5.4673366E-03,-61.4949745E-03
+39.5000E-06,+188.8507513E-03,+4.3366834E-03,-92.9020094E-03
+40.0000E-06,+311.5894435E-03,+3.7688442E-03,-81.5954768E-03
+40.5000E-06,+417.8708494E-03,+3.2160804E-03,-92.9020094E-03
+41.0000E-06,+494.2527581E-03,+1.7336683E-03,-61.4949745E-03
+41.5000E-06,+494.2527581E-03,+321.6080E-06,-91.6457280E-03
