x-axis,1,2,3
second,Volt,Volt,Volt
+400.0E-09,,,
+650.0E-09,,,
+900.0E-09,+104.3030135E-03,+457.2864E-06,-52.7010048E-03
+1.1500E-06,+144.5040181E-03,-658.2915E-06,-92.9020094E-03
+1.4000E-06,+165.9864300E-03,-276.3819E-06,-66.5201001E-03
+1.6500E-06,+200.7854246E-03,-226.1307E-06,-69.0326629E-03
+1.9000E-06,+220.2577862E-03,-321.6080E-06,-58.9824117E-03
+2.1500E-06,+249.0266301E-03,-145.7286E-06,-52.7010048E-03
+2.4000E-06,+261.0869315E-03,-477.3869E-06,-52.7010048E-03
+2.6500E-06,+285.9613030E-03,-65.3266E-06,-69.0326629E-03
+2.9000E-06,+293.8758758E-03,-718.5930E-06,-52.7010048E-03
+3.1500E-06,+309.3281370E-03,-773.8693E-06,-52.7010048E-03
+3.4000E-06,+315.9864284E-03,-638.1909E-06,-52.7010048E-03
+3.6500E-06,+325.4085388E-03,-964.8241E-06,-92.9020094E-03
+3.9000E-06,+326.0366795E-03,-271.3568E-06,-86.6206024E-03
+4.1500E-06,+329.4286393E-03,-643.2161E-06,-92.9020094E-03
+4.4000E-06,+328.0467297E-03,-427.1357E-06,-66.5201001E-03
+4.6500E-06,+321.3884383E-03,-738.6935E-06,-92.9020094E-03
+4.9000E-06,+316.7401972E-03,-643.2161E-06,-86.6206024E-03
+5.1500E-06,+305.3080365E-03,-994.9749E-06,-20.0376885E-03
+5.4000E-06,+293.2477351E-03,-854.2713E-06,-79.0829140E-03
+5.6500E-06,+281.1874337E-03,-1.1557789E-03,-92.9020094E-03
+5.9000E-06,+261.0869315E-03,-979.8995E-06,-52.7010048E-03
+6.1500E-06,+248.6497457E-03,-1.2864321E-03,-52.7010048E-03
+6.4000E-06,+224.9060273E-03,-487.4372E-06,-52.7010048E-03
+6.6500E-06,+200.7854246E-03,-1.1909548E-03,-69.0326629E-03
+6.9000E-06,+176.6648218E-03,-1.7939698E-03,-52.7010048E-03
+7.1500E-06,+156.1874351E-03,-1.3467337E-03,-16.2688444E-03
+7.4000E-06,+128.4236163E-03,-1.2361809E-03,-52.7010048E-03
+7.6500E-06,+96.2628126E-03,-1.1909548E-03,-52.7010048E-03
+7.9000E-06,+72.1422099E-03,-1.7939698E-03,-86.6206024E-03
+8.1500E-06,+44.0015066E-03,-688.4422E-06,-52.7010048E-03
+8.4000E-06,+10.4587934E-03,-1.6633166E-03,-66.5201001E-03
+8.6500E-06,-22.7070354E-03,-964.8241E-06,-52.7010048E-03
+8.9000E-06,-48.4608039E-03,-1.2110553E-03,-86.6206024E-03
+9.1500E-06,-80.6216076E-03,-512.5628E-06,-89.1331652E-03
+9.4000E-06,-108.7623108E-03,-1.2864321E-03,-79.0829140E-03
+9.6500E-06,-140.9231145E-03,-673.3668E-06,-52.7010048E-03
+9.9000E-06,-165.6718579E-03,-778.8945E-06,-86.6206024E-03
+10.1500E-06,-197.2045209E-03,-336.6834E-06,-52.7010048E-03
+10.4000E-06,-221.3251237E-03,-753.7688E-06,-26.3190955E-03
+10.6500E-06,-253.4859274E-03,-738.6935E-06,-52.7010048E-03
+10.9000E-06,-270.1944699E-03,-1.0753769E-03,-52.7010048E-03
+11.1500E-06,-298.0839168E-03,-351.7588E-06,-52.7010048E-03
+11.4000E-06,-317.8075347E-03,-316.5829E-06,-52.7010048E-03
+11.6500E-06,-337.9080370E-03,-577.8894E-06,-76.5703513E-03
+11.9000E-06,-353.9884388E-03,-346.7337E-06,-86.6206024E-03
+12.1500E-06,-374.0889411E-03,+175.8794E-06,-56.4698490E-03
+12.4000E-06,-382.1291421E-03,-211.0553E-06,-79.0829140E-03
+12.6500E-06,-396.5763781E-03,+30.1508E-06,-52.7010048E-03
+12.9000E-06,-402.2296444E-03,+939.6985E-06,-58.9824117E-03
+13.1500E-06,-410.2698453E-03,+321.6080E-06,-52.7010048E-03
+13.4000E-06,-411.6517548E-03,+748.7437E-06,-79.0829140E-03
+13.6500E-06,-414.2899457E-03,+452.2613E-06,-52.7010048E-03
+13.9000E-06,-414.9180864E-03,+1.0150754E-03,-86.6206024E-03
+14.1500E-06,-410.2698453E-03,+949.7487E-06,-89.1331652E-03
+14.4000E-06,-410.2698453E-03,+1.4522613E-03,-92.9020094E-03
+14.6500E-06,-398.2095439E-03,+1.1909548E-03,-69.0326629E-03
+14.9000E-06,-386.7773832E-03,+1.5728643E-03,-46.4195978E-03
+15.1500E-06,-374.0889411E-03,+1.5778894E-03,-89.1331652E-03
+15.4000E-06,-360.6467302E-03,+1.9246231E-03,-38.8819095E-03
+15.6500E-06,-341.9281375E-03,+1.6733668E-03,-76.5703513E-03
+15.9000E-06,-321.8276352E-03,+1.1256281E-03,-86.6206024E-03
+16.1500E-06,-297.7070324E-03,+1.4773869E-03,-89.1331652E-03
+16.4000E-06,-277.6065301E-03,+1.8693467E-03,-79.0829140E-03
+16.6500E-06,-253.4859274E-03,+1.4472362E-03,-92.9020094E-03
+16.9000E-06,-233.3854251E-03,+1.7939698E-03,-58.9824117E-03
+17.1500E-06,-197.5814053E-03,+2.5427135E-03,-48.9321606E-03
+17.4000E-06,-173.0839182E-03,+2.6683417E-03,-92.9020094E-03
+17.6500E-06,-144.9432150E-03,+2.1608040E-03,-52.7010048E-03
+17.9000E-06,-116.1743710E-03,+2.4723618E-03,-86.6206024E-03
+18.1500E-06,-80.6216076E-03,+2.5728643E-03,-52.7010048E-03
+18.4000E-06,-51.0989949E-03,+2.4070352E-03,-79.0829140E-03
+18.6500E-06,-20.3201007E-03,+1.2713568E-03,-76.5703513E-03
+18.9000E-06,+11.8407030E-03,+2.2010050E-03,-86.6206024E-03
+19.1500E-06,+44.0015066E-03,+1.9748744E-03,-89.1331652E-03
+19.4000E-06,+77.5442199E-03,+1.4974874E-03,-52.7010048E-03
+19.6500E-06,+108.3231140E-03,+1.8693467E-03,-52.7010048E-03
+19.9000E-06,+139.8557770E-03,+1.6331658E-03,-52.7010048E-03
+20.1500E-06,+168.6246209E-03,+1.5929648E-03,-52.7010048E-03
+20.4000E-06,+194.1271332E-03,+2.0854271E-03,-79.0829140E-03
+20.6500E-06,+220.8859269E-03,+869.3467E-06,-92.9020094E-03
+20.9000E-06,+249.0266301E-03,+753.7688E-06,-92.9020094E-03
+21.1500E-06,+269.5040168E-03,+643.2161E-06,-89.1331652E-03
+21.4000E-06,+290.6095442E-03,+753.7688E-06,-66.5201001E-03
+21.6500E-06,+313.3482374E-03,+160.8040E-06,-76.5703513E-03
+21.9000E-06,+329.4286393E-03,+939.6985E-06,-52.7010048E-03
+22.1500E-06,+345.5090411E-03,-804.0201E-06,-89.1331652E-03
+22.4000E-06,+362.9713525E-03,+221.1055E-06,-52.7010048E-03
+22.6500E-06,+369.6296439E-03,-1.2211055E-03,-28.8316583E-03
+22.9000E-06,+385.7100457E-03,-1.0502512E-03,-58.9824117E-03
+23.1500E-06,+385.3331613E-03,-1.4472362E-03,-89.1331652E-03
+23.4000E-06,+399.1522566E-03,-1.5527638E-03,-52.7010048E-03
+23.6500E-06,+389.7301462E-03,-1.3216080E-03,-36.3693467E-03
+23.9000E-06,+397.7703471E-03,-2.0904522E-03,-52.7010048E-03
+24.1500E-06,+389.7301462E-03,-2.0753769E-03,-89.1331652E-03
+24.4000E-06,+393.7502466E-03,-2.2562814E-03,-52.7010048E-03
+24.6500E-06,+371.2628097E-03,-2.7085427E-03,-76.5703513E-03
+24.9000E-06,+374.2778850E-03,-3.2763819E-03,-58.9824117E-03
+25.1500E-06,+345.8859255E-03,-2.6030150E-03,-52.7010048E-03
+25.4000E-06,+345.5090411E-03,-4.0201005E-03,-79.0829140E-03
+25.6500E-06,+327.7954735E-03,-3.2462311E-03,-92.9020094E-03
+25.9000E-06,+309.3281370E-03,-3.9095477E-03,-86.6206024E-03
+26.1500E-06,+284.8306498E-03,-3.3618090E-03,-89.1331652E-03
+26.4000E-06,+267.7452228E-03,-3.4321608E-03,-52.7010048E-03
+26.6500E-06,+236.9663287E-03,-3.5376884E-03,-92.9020094E-03
+26.9000E-06,+220.8859269E-03,-3.9698492E-03,-92.9020094E-03
+27.1500E-06,+184.3281383E-03,-3.4924623E-03,-52.7010048E-03
+27.4000E-06,+163.2226109E-03,-3.4271356E-03,-52.7010048E-03
+27.6500E-06,+130.0567821E-03,-3.3417085E-03,-92.9020094E-03
+27.9000E-06,+100.2829131E-03,-2.9798995E-03,-58.9824117E-03
+28.1500E-06,+68.1221094E-03,-3.4773869E-03,-20.0376885E-03
+28.4000E-06,+38.5994966E-03,-3.0502512E-03,-52.7010048E-03
+28.6500E-06,+3.8005020E-03,-3.1859296E-03,-52.7010048E-03
+28.9000E-06,-27.7321609E-03,-2.1909548E-03,-52.7010048E-03
+29.1500E-06,-56.5010048E-03,-3.2412060E-03,-56.4698490E-03
+29.4000E-06,-86.0236176E-03,-2.6231155E-03,-92.9020094E-03
+29.6500E-06,-116.8025117E-03,-1.9296482E-03,-76.5703513E-03
+29.9000E-06,-152.3552752E-03,-1.7437186E-03,-92.9020094E-03
+30.1500E-06,-177.1040186E-03,-1.7688442E-03,-52.7010048E-03
+30.4000E-06,-208.0085409E-03,-1.8040201E-03,-66.5201001E-03
+30.6500E-06,-230.9984904E-03,-1.3517588E-03,-69.0326629E-03
+30.9000E-06,-261.5261283E-03,-914.5729E-06,-92.9020094E-03
+31.1500E-06,-281.6266306E-03,-527.6382E-06,-89.1331652E-03
+31.4000E-06,-303.1090424E-03,-206.0301E-06,-79.0829140E-03
+31.6500E-06,-325.8477356E-03,-452.2613E-06,-69.0326629E-03
+31.9000E-06,-342.5562782E-03,+135.6784E-06,-92.9020094E-03
+32.1500E-06,-358.3854237E-03,+437.1859E-06,-89.1331652E-03
+32.4000E-06,-374.0889411E-03,+326.6332E-06,-92.9020094E-03
+32.6500E-06,-382.1291421E-03,+487.4372E-06,-52.7010048E-03
+32.9000E-06,-393.5613027E-03,+1.0402010E-03,-52.7010048E-03
+33.1500E-06,-401.8527599E-03,+1.2864321E-03,-52.7010048E-03
+33.4000E-06,-404.8678353E-03,+1.6633166E-03,-79.0829140E-03
+33.6500E-06,-406.2497448E-03,+2.4472362E-03,-76.5703513E-03
+33.9000E-06,-406.2497448E-03,+1.8291457E-03,-58.9824117E-03
+34.1500E-06,-402.2296444E-03,+1.7839196E-03,-89.1331652E-03
+34.4000E-06,-395.5713530E-03,+2.3567839E-03,-79.0829140E-03
+34.6500E-06,-387.7824083E-03,+2.3115578E-03,-76.5703513E-03
+34.9000E-06,-378.7371823E-03,+2.4623115E-03,-92.9020094E-03
+35.1500E-06,-370.0688407E-03,+2.8793970E-03,-52.7010048E-03
+35.4000E-06,-349.9683384E-03,+2.4673367E-03,-79.0829140E-03
+35.6500E-06,-333.8879365E-03,+2.7989949E-03,-52.7010048E-03
+35.9000E-06,-313.7874343E-03,+3.3015075E-03,-52.7010048E-03
+36.1500E-06,-297.7070324E-03,+3.0402010E-03,-56.4698490E-03
+36.4000E-06,-270.9482387E-03,+3.2713567E-03,-92.9020094E-03
+36.6500E-06,-247.0788923E-03,+3.1206030E-03,-36.3693467E-03
+36.9000E-06,-224.7170834E-03,+3.1306532E-03,-58.9824117E-03
+37.1500E-06,-197.2045209E-03,+3.2311557E-03,-52.7010048E-03
+37.4000E-06,-165.0437173E-03,+3.1105527E-03,-66.5201001E-03
+37.6500E-06,-139.2899487E-03,+3.1809045E-03,-52.7010048E-03
+37.9000E-06,-105.9984918E-03,+3.0050251E-03,-86.6206024E-03
+38.1500E-06,-72.5814067E-03,+2.0603015E-03,-92.9020094E-03
+38.4000E-06,-52.4809044E-03,+3.4874371E-03,-92.9020094E-03
+38.6500E-06,-2.6065331E-03,+899.4975E-06,-76.5703513E-03
+38.9000E-06,+3.8005020E-03,+3.9095477E-03,-52.7010048E-03
+39.1500E-06,+64.4788934E-03,+1.2864321E-03,-52.7010048E-03
+39.4000E-06,+64.1020089E-03,+2.4673367E-03,-92.9020094E-03
+39.6500E-06,+124.4035158E-03,+2.2211055E-03,-52.7010048E-03
+39.9000E-06,+132.4437167E-03,+1.1005025E-03,-52.7010048E-03
+40.1500E-06,+172.6447213E-03,+3.0703517E-03,-89.1331652E-03
+40.4000E-06,+203.4236155E-03,-804.0201E-06,-92.9020094E-03
+40.6500E-06,+215.2326606E-03,+4.1758794E-03,-76.5703513E-03
+40.9000E-06,+253.0467305E-03,+35.1759E-06,-52.7010048E-03
+41.1500E-06,+273.5241172E-03,+1.3165829E-03,-92.9020094E-03
+41.4000E-06,+293.2477351E-03,+1.2814070E-03,-52.7010048E-03
+41.6500E-06,+317.3683379E-03,-613.0653E-06,-92.9020094E-03
+41.9000E-06,+333.4487397E-03,+1.3718593E-03,-92.9020094E-03
+42.1500E-06,+353.1723576E-03,-1.7688442E-03,-52.7010048E-03
+42.4000E-06,+365.6095434E-03,+1.3919598E-03,-79.0829140E-03
+42.6500E-06,+373.6497443E-03,-2.2814070E-03,-69.0326629E-03
+42.9000E-06,+385.7100457E-03,-567.8392E-06,-52.7010048E-03
+43.1500E-06,+385.7100457E-03,-1.4623115E-03,-56.4698490E-03
+43.4000E-06,+397.7703471E-03,-1.7135678E-03,-52.7010048E-03
+43.6500E-06,+395.3834124E-03,-2.4773869E-03,-45.1633164E-03
+43.9000E-06,+394.3783873E-03,-2.0904522E-03,-58.9824117E-03
+44.1500E-06,+394.1271310E-03,-2.3718593E-03,-56.4698490E-03
+44.4000E-06,+384.4537643E-03,-2.2562814E-03,-66.5201001E-03
+44.6500E-06,+381.6899452E-03,-3.3115578E-03,-52.7010048E-03
+44.9000E-06,+369.0015032E-03,-2.9698492E-03,-92.9020094E-03
