x-axis,1,2,3
second,Volt,Volt,Volt
-80.000E-06,,,
-77.500E-06,-8.259799E-03,-1.092965E-03,+3.082977354E+00
-75.000E-06,-4.239699E-03,-188.442E-06,+3.082977354E+00
-72.500E-06,-219.598E-06,-138.191E-06,+3.082977354E+00
-70.000E-06,-219.598E-06,-891.960E-06,+3.082977354E+00
-67.500E-06,-8.259799E-03,-603.015E-06,+3.090515042E+00
-65.000E-06,-3.737186E-03,-188.442E-06,+3.120665795E+00
-62.500E-06,-2.983417E-03,-439.698E-06,+3.110615544E+00
-60.000E-06,-8.259799E-03,-125.628E-06,+3.082977354E+00
-57.500E-06,+2.292964E-03,-489.950E-06,+3.082977354E+00
-55.000E-06,-4.239699E-03,-979.899E-06,+3.120665795E+00
-52.500E-06,-1.475880E-03,-339.196E-06,+3.110615544E+00
-50.000E-06,+2.041708E-03,-565.327E-06,+3.082977354E+00
-47.500E-06,-973.367E-06,-603.015E-06,+3.082977354E+00
-45.000E-06,-470.855E-06,-12.563E-06,+3.082977354E+00
-42.500E-06,-2.983417E-03,+0.0E+00,+3.082977354E+00
-40.000E-06,-3.737186E-03,-603.015E-06,+3.082977354E+00
-37.500E-06,-4.993468E-03,-326.633E-06,+3.082977354E+00
-35.000E-06,-4.239699E-03,-804.020E-06,+3.123178358E+00
-32.500E-06,-219.598E-06,-326.633E-06,+3.082977354E+00
-30.000E-06,-12.279900E-03,-138.191E-06,+3.082977354E+00
-27.500E-06,-4.239699E-03,-891.960E-06,+3.082977354E+00
-25.000E-06,-3.737186E-03,-766.332E-06,+3.082977354E+00
-22.500E-06,-4.239699E-03,-891.960E-06,+3.082977354E+00
-20.000E-06,+1.036683E-03,-515.075E-06,+3.082977354E+00
-17.500E-06,-10.772362E-03,-477.387E-06,+3.115640670E+00
-15.000E-06,-4.239699E-03,-1.005025E-03,+3.120665795E+00
-12.500E-06,-1.475880E-03,-615.578E-06,+3.082977354E+00
-10.000E-06,-2.480905E-03,-226.131E-06,+3.105590419E+00
-7.500E-06,-13.284925E-03,+603.015E-06,+3.090515042E+00
-5.000E-06,-3.988443E-03,-791.457E-06,+3.120665795E+00
-2.500E-06,-9.516081E-03,-1.030151E-03,+3.082977354E+00
+0.0E+00,-2.480905E-03,-1.231156E-03,+1.454836668E+00
+2.500E-06,-4.239699E-03,+565.327E-06,-52.701005E-03
+5.000E-06,+3.297989E-03,+351.759E-06,-90.389447E-03
+7.500E-06,+1.036683E-03,-125.628E-06,-52.701005E-03
+10.000E-06,-296.450751E-03,-1.809045E-03,-110.489949E-03
+12.500E-06,-503.988437E-03,+10.062814E-03,-85.364321E-03
+15.000E-06,+494.252758E-03,+20.741206E-03,-90.389447E-03
+17.500E-06,+494.252758E-03,+24.396985E-03,-65.263819E-03
+20.000E-06,+494.252758E-03,+16.256281E-03,-75.314070E-03
+22.500E-06,+494.252758E-03,-6.771357E-03,-52.701005E-03
+25.000E-06,-526.852759E-03,-25.527638E-03,-92.902009E-03
+27.500E-06,-526.852759E-03,-25.527638E-03,-65.263819E-03
+30.000E-06,-526.852759E-03,-23.630653E-03,-52.701005E-03
+32.500E-06,-526.852759E-03,+7.600502E-03,-60.238693E-03
+35.000E-06,+494.252758E-03,+25.527638E-03,-55.213568E-03
+37.500E-06,+494.252758E-03,+25.527638E-03,-65.263819E-03
+40.000E-06,+494.252758E-03,+25.527638E-03,-75.314070E-03
+42.500E-06,+494.252758E-03,-8.706030E-03,-60.238693E-03
+45.000E-06,-526.852759E-03,-25.527638E-03,-55.213568E-03
+47.500E-06,-526.852759E-03,-25.527638E-03,-80.339195E-03
+50.000E-06,-526.852759E-03,-25.527638E-03,-52.701005E-03
+52.500E-06,-526.852759E-03,+11.821608E-03,-52.701005E-03
+55.000E-06,+494.252758E-03,+25.527638E-03,-55.213568E-03
+57.500E-06,+494.252758E-03,+25.527638E-03,-92.902009E-03
+60.000E-06,+494.252758E-03,+25.527638E-03,-70.288944E-03
+62.500E-06,+494.252758E-03,-11.193467E-03,-92.902009E-03
+65.000E-06,-526.852759E-03,-25.527638E-03,-90.389447E-03
+67.500E-06,-526.852759E-03,-25.527638E-03,-92.902009E-03
+70.000E-06,-526.852759E-03,-25.527638E-03,-52.701005E-03
+72.500E-06,-526.852759E-03,+10.992462E-03,-60.238693E-03
+75.000E-06,+494.252758E-03,+25.527638E-03,-92.902009E-03
+77.500E-06,+494.252758E-03,+25.527638E-03,-80.339195E-03
+80.000E-06,+494.252758E-03,+25.527638E-03,-52.701005E-03
+82.500E-06,+494.252758E-03,-12.575377E-03,-60.238693E-03
+85.000E-06,-526.852759E-03,-25.527638E-03,-55.213568E-03
+87.500E-06,-526.852759E-03,-25.527638E-03,-65.263819E-03
+90.000E-06,-526.852759E-03,-25.527638E-03,-52.701005E-03
+92.500E-06,-526.852759E-03,+11.469849E-03,-60.238693E-03
+95.000E-06,+494.252758E-03,+25.527638E-03,-92.902009E-03
+97.500E-06,+494.252758E-03,+25.527638E-03,-92.902009E-03
+100.000E-06,+494.252758E-03,+25.414573E-03,-75.314070E-03
+102.500E-06,+494.252758E-03,-13.944723E-03,-92.902009E-03
+105.000E-06,-526.852759E-03,-25.527638E-03,-55.213568E-03
+107.500E-06,-526.852759E-03,-25.527638E-03,-52.701005E-03
+110.000E-06,-526.852759E-03,-25.527638E-03,-92.902009E-03
+112.500E-06,-526.852759E-03,+12.123115E-03,-92.902009E-03
+115.000E-06,+494.252758E-03,+25.527638E-03,-52.701005E-03
+117.500E-06,+494.252758E-03,+25.527638E-03,-80.339195E-03
+120.000E-06,+494.252758E-03,+25.527638E-03,-52.701005E-03
+122.500E-06,+494.252758E-03,-13.819095E-03,-60.238693E-03
+125.000E-06,-526.852759E-03,-25.527638E-03,-92.902009E-03
+127.500E-06,-526.852759E-03,-25.527638E-03,-52.701005E-03
+130.000E-06,-526.852759E-03,-25.301507E-03,-70.288944E-03
+132.500E-06,-526.852759E-03,+12.047739E-03,-85.364321E-03
+135.000E-06,+494.252758E-03,+25.527638E-03,-52.701005E-03
+137.500E-06,+494.252758E-03,+25.527638E-03,-52.701005E-03
+140.000E-06,+494.252758E-03,+25.012563E-03,-75.314070E-03
+142.500E-06,+494.252758E-03,-12.412060E-03,-85.364321E-03
+145.000E-06,-526.852759E-03,-25.527638E-03,-92.902009E-03
+147.500E-06,-526.852759E-03,-25.527638E-03,-65.263819E-03
+150.000E-06,-526.852759E-03,-25.188442E-03,-70.288944E-03
+152.500E-06,-526.852759E-03,+12.336683E-03,-60.238693E-03
+155.000E-06,+494.252758E-03,+25.527638E-03,-90.389447E-03
+157.500E-06,+494.252758E-03,+25.527638E-03,-65.263819E-03
+160.000E-06,+494.252758E-03,+22.989950E-03,-52.701005E-03
+162.500E-06,+494.252758E-03,-11.959799E-03,-85.364321E-03
+165.000E-06,-526.852759E-03,-25.527638E-03,-52.701005E-03
+167.500E-06,-526.852759E-03,-25.527638E-03,-80.339195E-03
+170.000E-06,-526.852759E-03,-24.962311E-03,-92.902009E-03
+172.500E-06,-526.852759E-03,+12.185930E-03,-92.902009E-03
+175.000E-06,+494.252758E-03,+25.527638E-03,-92.902009E-03
+177.500E-06,+494.252758E-03,+25.527638E-03,-52.701005E-03
+180.000E-06,+494.252758E-03,+24.610553E-03,-70.288944E-03
+182.500E-06,+494.252758E-03,-10.866834E-03,-52.701005E-03
+185.000E-06,-526.852759E-03,-25.527638E-03,-92.902009E-03
+187.500E-06,-526.852759E-03,-25.527638E-03,-80.339195E-03
+190.000E-06,-526.852759E-03,-24.962311E-03,-52.701005E-03
+192.500E-06,-526.852759E-03,+10.716080E-03,-60.238693E-03
+195.000E-06,+494.252758E-03,+25.527638E-03,-90.389447E-03
